Order_ID,Order_Date,Country,Product,Category,Quantity,Unit_Price,Revenue
1,09-10-2022,Germany,Smartphone,Electronics,1,644,644
2,15-04-2022,India,Headphones,Accessories,2,164,328
3,06-04-2022,Germany,Office Chair,Furniture,1,203,203
4,28-01-2022,Germany,Headphones,Accessories,5,147,735
5,27-08-2023,Canada,Office Chair,Furniture,2,257,514
6,09-03-2023,Australia,Laptop,Electronics,2,939,1878
7,21-02-2024,Australia,Keyboard,Accessories,2,57,114
8,10-04-2022,Australia,Smartphone,Electronics,1,598,598
9,06-04-2024,USA,Monitor,Electronics,5,283,1415
10,23-01-2023,India,Desk,Furniture,5,315,1575
11,15-08-2023,Germany,Keyboard,Accessories,5,76,380
12,22-08-2022,Canada,Smartphone,Electronics,1,634,634
13,25-01-2023,Canada,Smartphone,Electronics,2,562,1124
14,15-01-2023,Australia,Desk,Furniture,3,320,960
15,01-12-2023,India,Headphones,Accessories,3,159,477
16,08-09-2022,UK,Tablet,Electronics,5,443,2215
17,18-10-2023,Germany,Desk,Furniture,4,334,1336
18,21-04-2024,USA,Monitor,Electronics,1,279,279
19,09-03-2022,Germany,Monitor,Electronics,4,284,1136
20,27-05-2023,France,Monitor,Electronics,2,333,666
21,23-05-2022,Germany,Desk,Furniture,2,333,666
22,21-08-2023,France,Keyboard,Accessories,5,84,420
23,06-06-2023,Brazil,Monitor,Electronics,2,267,534
24,06-06-2022,UK,Smartphone,Electronics,1,564,564
25,30-01-2023,France,Office Chair,Furniture,5,208,1040
26,21-07-2023,USA,Desk,Furniture,5,332,1660
27,01-10-2022,Australia,Smartphone,Electronics,5,646,3230
28,11-06-2022,Brazil,Smartphone,Electronics,3,605,1815
29,20-02-2024,UK,Laptop,Electronics,3,914,2742
30,04-06-2023,Germany,Smartphone,Electronics,3,631,1893
31,15-06-2022,USA,Tablet,Electronics,3,447,1341
32,25-04-2022,Australia,Monitor,Electronics,4,252,1008
33,04-09-2022,India,Keyboard,Accessories,2,37,74
34,18-02-2024,UK,Smartphone,Electronics,4,558,2232
35,19-06-2022,Canada,Tablet,Electronics,4,420,1680
36,13-02-2024,Germany,Office Chair,Furniture,2,269,538
37,28-10-2023,Australia,Keyboard,Accessories,4,115,460
38,04-05-2022,Germany,Desk,Furniture,5,357,1785
39,22-01-2022,Germany,Headphones,Accessories,1,113,113
40,26-12-2023,USA,Headphones,Accessories,1,79,79
41,30-05-2024,Australia,Headphones,Accessories,1,74,74
42,13-10-2022,Brazil,Smartphone,Electronics,5,580,2900
43,11-01-2024,Brazil,Headphones,Accessories,5,86,430
44,14-07-2022,India,Headphones,Accessories,4,122,488
45,10-03-2023,France,Smartphone,Electronics,4,595,2380
46,01-11-2023,India,Desk,Furniture,1,386,386
47,14-12-2022,India,Laptop,Electronics,4,943,3772
48,04-07-2023,Brazil,Headphones,Accessories,2,94,188
49,13-10-2022,Brazil,Tablet,Electronics,4,373,1492
50,07-04-2024,India,Headphones,Accessories,1,126,126
51,06-04-2022,Germany,Laptop,Electronics,5,851,4255
52,08-05-2023,Germany,Tablet,Electronics,4,412,1648
53,24-01-2023,USA,Office Chair,Furniture,1,221,221
54,14-03-2024,Brazil,Office Chair,Furniture,3,300,900
55,19-01-2024,Brazil,Keyboard,Accessories,4,119,476
56,11-08-2022,USA,Tablet,Electronics,2,387,774
57,21-02-2022,Brazil,Laptop,Electronics,3,857,2571
58,24-03-2022,UK,Tablet,Electronics,1,415,415
59,23-11-2023,Germany,Smartphone,Electronics,5,558,2790
60,10-09-2022,USA,Office Chair,Furniture,1,272,272
61,21-08-2023,Australia,Smartphone,Electronics,4,634,2536
62,04-01-2024,Australia,Keyboard,Accessories,2,115,230
63,15-05-2022,Canada,Headphones,Accessories,3,120,360
64,16-03-2022,USA,Desk,Furniture,3,396,1188
65,13-04-2022,India,Desk,Furniture,5,372,1860
66,16-05-2022,Australia,Headphones,Accessories,5,103,515
67,19-10-2022,UK,Smartphone,Electronics,2,597,1194
68,06-11-2022,USA,Desk,Furniture,5,390,1950
69,28-09-2022,India,Keyboard,Accessories,1,47,47
70,06-10-2022,Canada,Smartphone,Electronics,5,569,2845
71,05-12-2023,Canada,Headphones,Accessories,3,96,288
72,05-04-2022,France,Desk,Furniture,3,306,918
73,08-12-2022,UK,Keyboard,Accessories,1,30,30
74,29-03-2023,France,Keyboard,Accessories,2,124,248
75,09-12-2023,UK,Laptop,Electronics,1,859,859
76,20-07-2023,UK,Laptop,Electronics,3,924,2772
77,12-11-2022,Australia,Office Chair,Furniture,2,205,410
78,30-11-2023,Germany,Laptop,Electronics,3,876,2628
79,28-07-2023,France,Smartphone,Electronics,3,649,1947
